# USD/EUR data exported from www.dukascopy.net;;;;;;
DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03-08-2003;00:00:01;172;0.8866;0.8864;0.8857;0.8876
04-08-2003;00:00:01;42516;0.8864;0.8807;0.879;0.8883
05-08-2003;00:00:01;40490;0.8808;0.878;0.8773;0.8846
06-08-2003;00:00:01;40072;0.878;0.8821;0.8751;0.8832
07-08-2003;00:00:01;45883;0.8819;0.88;0.876;0.8837
08-08-2003;00:00:01;34649;0.88;0.8846;0.8788;0.8862
10-08-2003;00:00:01;33;0.8846;0.8851;0.8846;0.8851
11-08-2003;00:00:01;36960;0.8851;0.8806;0.8787;0.888
12-08-2003;00:00:01;39571;0.8806;0.8871;0.8793;0.8876
13-08-2003;00:00:01;42242;0.8871;0.8843;0.8825;0.8916
14-08-2003;00:00:01;37481;0.8841;0.888;0.8819;0.891
15-08-2003;00:00:01;27615;0.8877;0.888;0.8858;0.8898
17-08-2003;00:00:01;62;0.888;0.8889;0.8832;0.8893
18-08-2003;00:00:01;39882;0.8903;0.8978;0.8874;0.8991
19-08-2003;00:00:01;41258;0.8978;0.8987;0.897;0.9048
20-08-2003;00:00:01;38812;0.8986;0.9003;0.8975;0.9027
21-08-2003;00:00:01;40444;0.9003;0.9149;0.9001;0.9189
22-08-2003;00:00:01;37102;0.9148;0.9187;0.9135;0.9231
25-08-2003;00:00:01;37405;0.9187;0.9236;0.9158;0.9262
26-08-2003;00:00:01;39813;0.9236;0.9195;0.9166;0.927
27-08-2003;00:00:01;40379;0.9195;0.9213;0.9147;0.9234
28-08-2003;00:00:01;36092;0.9213;0.9193;0.9163;0.9253
29-08-2003;00:00:01;35192;0.9189;0.9107;0.9093;0.9201
03-01-2011;00:00:01;321517;0.7476;0.7488;0.7465;0.7549
04-01-2011;00:00:01;437255;0.7487;0.7509;0.7443;0.7525
05-01-2011;00:00:01;457296;0.7508;0.7602;0.7505;0.7621
06-01-2011;00:00:01;436279;0.7602;0.7705;0.7592;0.7712
07-01-2011;00:00:01;416786;0.7705;0.7748;0.7679;0.7751
10-01-2011;00:00:01;390255;0.7751;0.7714;0.7712;0.7771
11-01-2011;00:00:01;175897;0.7715;0.7736;0.7698;0.7747
12-01-2011;00:00:01;369271;0.7736;0.7618;0.7607;0.7737
13-01-2011;00:00:01;494566;0.7618;0.7491;0.7472;0.7642
14-01-2011;00:00:01;455190;0.749;0.747;0.7431;0.7513
17-01-2011;00:00:01;347818;0.7468;0.753;0.7462;0.7552
18-01-2011;00:00:01;455402;0.753;0.7475;0.7426;0.7547
19-01-2011;00:00:01;468064;0.7475;0.7434;0.7386;0.7477
20-01-2011;00:00:01;477479;0.7434;0.7427;0.7394;0.7467
21-01-2011;00:00:01;407669;0.7427;0.7343;0.7339;0.7438
24-01-2011;00:00:01;406833;0.7345;0.733;0.7307;0.7388
25-01-2011;00:00:01;482686;0.733;0.7308;0.7297;0.737
26-01-2011;00:00:01;449878;0.7308;0.7294;0.7287;0.7332
27-01-2011;00:00:01;460553;0.7294;0.7288;0.7268;0.7335
28-01-2011;00:00:01;436509;0.7288;0.7349;0.7274;0.7363
31-01-2011;00:00:01;432502;0.7351;0.7292;0.7277;0.7371
01-02-2011;00:00:01;482327;0.7293;0.7232;0.7224;0.7301
02-02-2011;00:00:01;444171;0.7232;0.7239;0.7213;0.7265
03-02-2011;00:00:01;449230;0.7238;0.7341;0.7233;0.735
04-02-2011;00:00:01;373809;0.7341;0.7364;0.731;0.7386
07-02-2011;00:00:01;440199;0.7366;0.7357;0.7338;0.7405
08-02-2011;00:00:01;474339;0.7357;0.734;0.7305;0.737
09-02-2011;00:00:01;457563;0.734;0.7289;0.7275;0.735
10-02-2011;00:00:01;459169;0.729;0.7351;0.7284;0.7367
11-02-2011;00:00:01;414166;0.7352;0.7377;0.7341;0.7411
14-02-2011;00:00:01;393742;0.738;0.7419;0.7375;0.7449
15-02-2011;00:00:01;419461;0.7419;0.7409;0.7379;0.7431
16-02-2011;00:00:01;472032;0.7409;0.7367;0.7359;0.743
17-02-2011;00:00:01;448769;0.7368;0.7341;0.7338;0.739
18-02-2011;00:00:01;404843;0.7341;0.7304;0.7291;0.7385
